,EntityName,Type,EntityCode,WikiLink,WikiDescrip,oneSentence,trustMetric,totalDocuments
61,HP,Technology,fSlb3,https://en.wikipedia.org/wiki/HP_Inc.,"HP Inc. is an American multinational information technology company headquartered in Palo Alto, California, that develops personal computers (PCs), printers and related supplies, as well as 3D printing solutions. It was formed on November 1, 2015, renamed from the personal computer and printer divisions of the original Hewlett-Packard Company, with that company's enterprise product and business services divisions becoming Hewlett Packard Enterprise. The split was structured so that Hewlett-Packard changed its name to HP Inc. and spun off Hewlett Packard Enterprise as a new publicly traded company. HP Inc. retains Hewlett-Packard's pre-2015 stock price history and its former stock ticker symbol, HPQ, while Hewlett Packard Enterprise trades under its own symbol, HPE.","HP Inc. is an American multinational information technology company headquartered in Palo Alto, California, that develops personal computers (PCs), printers and related supplies, as well as 3D printing solutions.","21,395","1,331,857"
68,3M,Technology,PX9w,https://en.wikipedia.org/wiki/3M,"3M (originally the Minnesota Mining and Manufacturing Company) is an American multinational conglomerate operating in the fields of industry, worker safety, U.S. health care, and consumer goods. The company produces over 60,000 products under several brands, including adhesives, abrasives, laminates, passive fire protection, personal protective equipment, window films, paint protection films, dental and orthodontic products, electrical and electronic connecting and insulating materials, medical products, car-care products, electronic circuits, healthcare software and optical films. It is based in Maplewood, a suburb of Saint Paul, Minnesota.","3M (originally the Minnesota Mining and Manufacturing Company) is an American multinational conglomerate operating in the fields of industry, worker safety, U.S. health care, and consumer goods.","20,059","887,967"
70,Gillette,Consumer Goods,8n53,https://en.wikipedia.org/wiki/Gillette,"Gillette is an American brand of safety razors and other personal care products including shaving supplies, owned by the multi-national corporation Procter & Gamble (P&G). Based in Boston, Massachusetts, United States, it was owned by The Gillette Company, a supplier of products under various brands until that company merged into P&G in 2005. The Gillette Company was founded by King C. Gillette in 1901 as a safety razor manufacturer.","Gillette is an American brand of safety razors and other personal care products including shaving supplies, owned by the multi-national corporation Procter & Gamble (P&G).","19,242","2,338,608"
80,LinkedIn,Technology,lx44,https://en.wikipedia.org/wiki/LinkedIn,"LinkedIn is an American business and employment-oriented online service that operates via websites and mobile apps. Launched on May 5, 2003, the platform is primarily used for professional networking and career development, and allows job seekers to post their CVs and employers to post jobs. From 2015 most of the company's revenue came from selling access to information about its members to recruiters and sales professionals.",LinkedIn is an American business and employment-oriented online service that operates via websites and mobile apps.,"18,613","53,694,651"
37,PayPal,Finance,dWO,https://en.wikipedia.org/wiki/PayPal,"PayPal Holdings, Inc. is an American multinational financial technology company operating an online payments system in the majority of countries that support online money transfers, and serves as an electronic alternative to traditional paper methods such as checks and money orders. The company operates as a payment processor for online vendors, auction sites and many other commercial users, for which it charges a fee.","PayPal Holdings, Inc. is an American multinational financial technology company operating an online payments system in the majority of countries that support online money transfers, and serves as an electronic alternative to traditional paper methods such as checks and money orders.","18,039","116,618,230"
35,Salesforce,Technology,BB9a,https://en.wikipedia.org/wiki/Salesforce,"Salesforce, Inc. is an American cloud-based software company headquartered in San Francisco, California. It provides customer relationship management (CRM) software and applications focused on sales, customer service, marketing automation, analytics, and application development. Founded by former Oracle executive Marc Benioff, Salesforce quickly grew into one of the largest companies in the world, making its IPO in 2004.","Salesforce, Inc. is an American cloud-based software company headquartered in San Francisco, California.","17,650","8,301,293"
97,Land Rover,Automotive,0S4,https://en.wikipedia.org/wiki/Land_Rover,"Land Rover is a British brand of predominantly four-wheel drive, off-road capable vehicles, owned by multinational car manufacturer Jaguar Land Rover (JLR), since 2008 a subsidiary of India's Tata Motors. JLR currently builds Land Rovers in Brazil, China, India, Slovakia, and the United Kingdom. The Land Rover name was created in 1948 by the Rover Company for a utilitarian 4WD off-roader; yet today Land Rover vehicles comprise solely upmarket and luxury sport utility cars.","Land Rover is a British brand of predominantly four-wheel drive, off-road capable vehicles, owned by multinational car manufacturer Jaguar Land Rover (JLR), since 2008 a subsidiary of India's Tata Motors.","16,747","3,095,910"
26,American Express,Finance,kWm1,https://en.wikipedia.org/wiki/American_Express,"American Express Company (Amex) is an American multinational corporation specialized in payment card services headquartered at 200 Vesey Street in the Battery Park City neighborhood of Lower Manhattan in New York City. The company was founded in 1850 and is one of the 30 components of the Dow Jones Industrial Average. The company's logo, adopted in 1958, is a gladiator or centurion whose image appears on the company's well-known traveler's cheques, charge cards, and credit cards.",American Express Company (Amex) is an American multinational corporation specialized in payment card services headquartered at 200 Vesey Street in the Battery Park City neighborhood of Lower Manhattan in New York City.,"16,095","4,215,658"
67,Nintendo,Entertainment,Tv5,https://en.wikipedia.org/wiki/Nintendo,"Nintendo Co., Ltd. is a Japanese multinational video game company headquartered in Kyoto, Japan. It develops video games and video game consoles. Nintendo was founded in 1889 as Nintendo Karuta by craftsman Fusajiro Yamauchi and originally produced handmade hanafuda playing cards.","Nintendo Co., Ltd. is a Japanese multinational video game company headquartered in Kyoto, Japan.","15,922","224,362,617"
17,IBM,Technology,HAqJ2,https://en.wikipedia.org/wiki/IBM,"The International Business Machines Corporation (IBM) is an American multinational technology corporation headquartered in Armonk, New York, with operations in over 171 countries. The company began in 1911, founded in Endicott, New York, by trust businessman Charles Ranlett Flint, as the Computing-Tabulating-Recording Company (CTR) and was renamed ""International Business Machines"" in 1924. IBM is incorporated in New York.","The International Business Machines Corporation (IBM) is an American multinational technology corporation headquartered in Armonk, New York, with operations in over 171 countries.","15,652","6,829,467"
